distributor_id,Distributor Name,Customer Code,Customer Name,latitude,longitude
32186,DCA - Patna,DCA - Patna,DCA - Patna,25.6168663,85.1049777
32186,DCA - Patna,17709,MUSKAN MEDICAL,25.6393893,85.1000211
32186,DCA - Patna,17712,SHASHI MEDICAL HALL,25.6076067,85.1132362
32186,DCA - Patna,17714,HARSH MEDICO HALL,25.568219,85.1607335
32186,DCA - Patna,17715,SHREE SHYAM MEDICAL STORE,25.5734784,85.1573367
32186,DCA - Patna,17717,M/S RANJAN MEDICAL HALL,25.5829941,85.1610526
32186,DCA - Patna,17719,USHA MEDICAL HALL,25.5760991,85.1530198
32186,DCA - Patna,17726,PRIYANSH MEDICAL HALL,25.5841422,85.13146455
32186,DCA - Patna,17730,P R MEDICAL SHOP,25.5720152,85.1506056
32186,DCA - Patna,17737,MONA MEDICAL HALL,25.5562932,85.1606053
32186,DCA - Patna,17743,NIRAJ MEDICAL HALL,25.58374565,85.13327035
32186,DCA - Patna,17750,VISHAL MEDICO,25.61282235,85.13323235
32186,DCA - Patna,17752,M K MEDICALS,25.5783434,85.1571882
32186,DCA - Patna,17779,SHIVRAJ MEDICINE CENTRE,25.57575315,85.16048065
32186,DCA - Patna,17801,MOTI MEDICAL,25.6135331,85.1478355
32186,DCA - Patna,17803,GAURAV MEDICAL HALL,25.5846196,85.2049883
