from_customer_code,to_customer_code,distance
Aayush Pharma - Guwahati,Aayush Pharma - Guwahati,0.0
Aayush Pharma - Guwahati,17847,15840.58
Aayush Pharma - Guwahati,17848,8712.8
Aayush Pharma - Guwahati,17849,7465.81
Aayush Pharma - Guwahati,17852,4340.08
Aayush Pharma - Guwahati,17858,4825.3
Aayush Pharma - Guwahati,17859,2318.56
Aayush Pharma - Guwahati,17862,4656.48
Aayush Pharma - Guwahati,17874,4443.22
Aayush Pharma - Guwahati,17875,5242.36
17847,Aayush Pharma - Guwahati,16556.83
17847,17847,0.0
17847,17848,10783.58
17847,17849,22825.95
17847,17852,12216.75
17847,17858,13357.61
17847,17859,14238.28
17847,17862,14288.09
17847,17874,13947.95
17847,17875,14143.52
17848,Aayush Pharma - Guwahati,8038.54
17848,17847,10058.9
17848,17848,0.0
17848,17849,12694.72
17848,17852,5630.78
17848,17858,3226.37
17848,17859,7652.32
17848,17862,4156.86
17848,17874,3816.72
17848,17875,4012.28
17849,Aayush Pharma - Guwahati,7829.01
17849,17847,21293.68
17849,17848,12549.67
17849,17849,0.0
17849,17852,11989.97
17849,17858,9736.93
17849,17859,9968.45
17849,17862,10667.41
17849,17874,10327.27
17849,17875,10522.84
17852,Aayush Pharma - Guwahati,4340.08
17852,17847,11500.5
17852,17848,5613.12
17852,17849,11626.76
17852,17852,0.0
17852,17858,8187.14
17852,17859,2021.53
17852,17862,4103.86
17852,17874,3890.61
17852,17875,4689.74
17858,Aayush Pharma - Guwahati,4825.3
17858,17847,12644.63
17858,17848,3900.63
17858,17849,10530.05
17858,17852,8216.52
17858,17858,0.0
17858,17859,5008.32
17858,17862,943.61
17858,17874,603.47
17858,17875,799.03
17859,Aayush Pharma - Guwahati,2318.56
17859,17847,13522.03
17859,17848,7634.65
17859,17849,9605.24
17859,17852,2021.53
17859,17858,5008.32
17859,17859,0.0
17859,17862,4839.5
17859,17874,4626.24
17859,17875,5425.38
17862,Aayush Pharma - Guwahati,4656.48
17862,17847,13575.12
17862,17848,4831.11
17862,17849,11460.54
17862,17852,4103.86
17862,17858,943.61
17862,17859,4839.5
17862,17862,0.0
17862,17874,561.53
17862,17875,1360.67
17874,Aayush Pharma - Guwahati,4443.22
17874,17847,13234.98
17874,17848,4490.98
17874,17849,11120.4
17874,17852,3890.61
17874,17858,603.47
17874,17859,4626.24
17874,17862,561.53
17874,17874,0.0
17874,17875,1020.53
17875,Aayush Pharma - Guwahati,5242.36
17875,17847,13430.54
17875,17848,4686.54
17875,17849,11315.96
17875,17852,4689.74
17875,17858,799.03
17875,17859,5425.38
17875,17862,1360.67
17875,17874,1020.53
17875,17875,0.0
