from_customer_code,to_customer_code,distance
Kalinga Pharmatech,Kalinga Pharmatech,0.0
Kalinga Pharmatech,1007,16109.51
Kalinga Pharmatech,1009,13341.08
Kalinga Pharmatech,1013,13615.23
Kalinga Pharmatech,1015,11643.19
Kalinga Pharmatech,1030,17022.67
Kalinga Pharmatech,1035,6711.47
Kalinga Pharmatech,1037,9077.34
Kalinga Pharmatech,Aayush Pharma - Guwahati,NA
Kalinga Pharmatech,17847,NA
Kalinga Pharmatech,17848,NA
Kalinga Pharmatech,17849,NA
Kalinga Pharmatech,17852,NA
Kalinga Pharmatech,17858,NA
Kalinga Pharmatech,17859,NA
1007,Kalinga Pharmatech,14189.23
1007,1007,0.0
1007,1009,2824.57
1007,1013,1785.67
1007,1015,3629.51
1007,1030,4528.79
1007,1035,15124.5
1007,1037,11296.67
1007,Aayush Pharma - Guwahati,NA
1007,17847,NA
1007,17848,NA
1007,17849,NA
1007,17852,NA
1007,17858,NA
1007,17859,NA
1009,Kalinga Pharmatech,12596.78
1009,1007,2806.39
1009,1009,0.0
1009,1013,1285.51
1009,1015,1505.12
1009,1030,6118.77
1009,1035,14563.41
1009,1037,10735.58
1009,Aayush Pharma - Guwahati,NA
1009,17847,NA
1009,17848,NA
1009,17849,NA
1009,17852,NA
1009,17858,NA
1009,17859,NA
1013,Kalinga Pharmatech,13453.67
1013,1007,1785.67
1013,1009,1285.51
1013,1013,0.0
1013,1015,1998.5
1013,1030,5314.9
1013,1035,14388.93
1013,1037,10561.1
1013,Aayush Pharma - Guwahati,NA
1013,17847,NA
1013,17848,NA
1013,17849,NA
1013,17852,NA
1013,17858,NA
1013,17859,NA
1015,Kalinga Pharmatech,12031.3
1015,1007,3629.51
1015,1009,1505.12
1015,1013,1998.5
1015,1015,0.0
1015,1030,6779.46
1015,1035,16231.57
1015,1037,12403.74
1015,Aayush Pharma - Guwahati,NA
1015,17847,NA
1015,17848,NA
1015,17849,NA
1015,17852,NA
1015,17858,NA
1015,17859,NA
1030,Kalinga Pharmatech,13423.35
1030,1007,7372.24
1030,1009,3371.83
1030,1013,3865.21
1030,1015,1893.17
1030,1030,0.0
1030,1035,17218.68
1030,1037,13390.85
1030,Aayush Pharma - Guwahati,NA
1030,17847,NA
1030,17848,NA
1030,17849,NA
1030,17852,NA
1030,17858,NA
1030,17859,NA
1035,Kalinga Pharmatech,6570.36
1035,1007,15051.78
1035,1009,14316.85
1035,1013,14143.02
1035,1015,15355.33
1035,1030,19027.04
1035,1035,0.0
1035,1037,5101.05
1035,Aayush Pharma - Guwahati,NA
1035,17847,NA
1035,17848,NA
1035,17849,NA
1035,17852,NA
1035,17858,NA
1035,17859,NA
1037,Kalinga Pharmatech,9563.66
1037,1007,12332.43
1037,1009,11597.5
1037,1013,11423.67
1037,1015,12635.98
1037,1030,16307.69
1037,1035,4825.86
1037,1037,0.0
1037,Aayush Pharma - Guwahati,NA
1037,17847,NA
1037,17848,NA
1037,17849,NA
1037,17852,NA
1037,17858,NA
1037,17859,NA
Aayush Pharma - Guwahati,Kalinga Pharmatech,NA
Aayush Pharma - Guwahati,1007,NA
Aayush Pharma - Guwahati,1009,NA
Aayush Pharma - Guwahati,1013,NA
Aayush Pharma - Guwahati,1015,NA
Aayush Pharma - Guwahati,1030,NA
Aayush Pharma - Guwahati,1035,NA
Aayush Pharma - Guwahati,1037,NA
Aayush Pharma - Guwahati,Aayush Pharma - Guwahati,NA
Aayush Pharma - Guwahati,17847,NA
Aayush Pharma - Guwahati,17848,NA
Aayush Pharma - Guwahati,17849,NA
Aayush Pharma - Guwahati,17852,NA
Aayush Pharma - Guwahati,17858,NA
Aayush Pharma - Guwahati,17859,NA
17847,Kalinga Pharmatech,NA
17847,1007,NA
17847,1009,NA
17847,1013,NA
17847,1015,NA
17847,1030,NA
17847,1035,NA
17847,1037,NA
17847,Aayush Pharma - Guwahati,NA
17847,17847,NA
17847,17848,NA
17847,17849,NA
17847,17852,NA
17847,17858,NA
17847,17859,NA
17848,Kalinga Pharmatech,NA
17848,1007,NA
17848,1009,NA
17848,1013,NA
17848,1015,NA
17848,1030,NA
17848,1035,NA
17848,1037,NA
17848,Aayush Pharma - Guwahati,NA
17848,17847,NA
17848,17848,NA
17848,17849,NA
17848,17852,NA
17848,17858,NA
17848,17859,NA
17849,Kalinga Pharmatech,NA
17849,1007,NA
17849,1009,NA
17849,1013,NA
17849,1015,NA
17849,1030,NA
17849,1035,NA
17849,1037,NA
17849,Aayush Pharma - Guwahati,NA
17849,17847,NA
17849,17848,NA
17849,17849,NA
17849,17852,NA
17849,17858,NA
17849,17859,NA
17852,Kalinga Pharmatech,NA
17852,1007,NA
17852,1009,NA
17852,1013,NA
17852,1015,NA
17852,1030,NA
17852,1035,NA
17852,1037,NA
17852,Aayush Pharma - Guwahati,NA
17852,17847,NA
17852,17848,NA
17852,17849,NA
17852,17852,NA
17852,17858,NA
17852,17859,NA
17858,Kalinga Pharmatech,NA
17858,1007,NA
17858,1009,NA
17858,1013,NA
17858,1015,NA
17858,1030,NA
17858,1035,NA
17858,1037,NA
17858,Aayush Pharma - Guwahati,NA
17858,17847,NA
17858,17848,NA
17858,17849,NA
17858,17852,NA
17858,17858,NA
17858,17859,NA
17859,Kalinga Pharmatech,NA
17859,1007,NA
17859,1009,NA
17859,1013,NA
17859,1015,NA
17859,1030,NA
17859,1035,NA
17859,1037,NA
17859,Aayush Pharma - Guwahati,NA
17859,17847,NA
17859,17848,NA
17859,17849,NA
17859,17852,NA
17859,17858,NA
17859,17859,NA
