n_distributor_id,dist_name,tagdt,dispatch_dtime,first_cutoff,second_cutoff,cutoff,acno,c_name,amount
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,8993,MAHESHWARI MEDI STORE DATAN,1324.53
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,6722,M/S LAXMI HELATH CARE MEDICAL AND SURGICAL,460.65
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,8791,CITY CARE MEDICAL,79.87
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,9004,MAHADEV MEDICAL STORE MUNGELI,1446.65
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,6832,CAREPLUS PHARMACY,1726.32
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,8889,RIYANSH MEDICAL STORE MUNGELI,629.89
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,8802,DEWANGAN MEDICAL STORE MUNGELI,339.96
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,6969,ASHIRWAD CHEMIST,106.53
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,7340,PRITI MEDICAL STORE (OLD RAJENDRA NAGAR),503.71
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,6477,RAJDHANI MEDICAL STORE TELIBANDHA,2599.45
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,8974,LAXMI MEDICAL STORE (BALODA BAZAR),1757.08
33794,Ashirwad Distributors - Raipur,2022-07-07,2022-07-07 09:41:00,2022-07-07 12:00:00,2022-07-07 16:30:00,F,8981,KRISHNA MEDICAL STORE (BALODA BAZAR),1440.91
