Dist,HeadCount,Serviceability
AK Pharma - Belgaum,0,34.84848484848485
AK Pharma - Belgaum,1,70.60606060606061
AK Pharma - Belgaum,2,94.24242424242424
AK Pharma - Belgaum,3,100.0
Aayush Pharma - Guwahati,0,66.94444444444444
Aayush Pharma - Guwahati,1,100.0
Aryan Wellness,0,32.916666666666664
Aryan Wellness,1,40.833333333333336
Aryan Wellness,2,43.19444444444444
Aryan Wellness,3,44.44444444444444
Aryan Wellness,4,47.77777777777778
Aryan Wellness,5,52.77777777777778
Aryan Wellness,6,55.97222222222222
Aryan Wellness,7,60.55555555555555
Aryan Wellness,8,64.16666666666667
Aryan Wellness,9,67.63888888888889
Aryan Wellness,10,70.69444444444444
Aryan Wellness,11,73.47222222222223
Aryan Wellness,12,77.91666666666667
Aryan Wellness,13,82.22222222222221
Aryan Wellness,14,84.72222222222221
Aryan Wellness,15,86.25
Aryan Wellness,16,88.47222222222221
Aryan Wellness,17,89.44444444444444
Aryan Wellness,18,91.66666666666666
Aryan Wellness,19,93.75
Aryan Wellness,20,95.0
Aryan Wellness,21,95.97222222222223
Aryan Wellness,22,96.80555555555556
Aryan Wellness,23,97.77777777777777
Aryan Wellness,24,97.91666666666666
Aryan Wellness,25,98.19444444444444
Aryan Wellness,26,98.88888888888889
Aryan Wellness,27,99.02777777777779
Aryan Wellness,28,99.30555555555556
Aryan Wellness,31,99.58333333333333
Aryan Wellness,35,99.72222222222223
Aryan Wellness,43,99.86111111111111
Aryan Wellness,44,100.0
Ashirwad Distributors - Ahmedabad,0,55.333333333333336
Ashirwad Distributors - Ahmedabad,1,98.0
Ashirwad Distributors - Ahmedabad,2,99.66666666666667
Ashirwad Distributors - Ahmedabad,3,100.0
Ashirwad Distributors - Nagpur,0,45.27777777777778
Ashirwad Distributors - Nagpur,1,88.33333333333333
Ashirwad Distributors - Nagpur,2,99.16666666666667
Ashirwad Distributors - Nagpur,3,99.72222222222223
Ashirwad Distributors - Nagpur,4,100.0
Ashirwad Distributors - Raipur,0,47.5
Ashirwad Distributors - Raipur,1,84.16666666666667
Ashirwad Distributors - Raipur,2,95.83333333333334
Ashirwad Distributors - Raipur,3,98.88888888888889
Ashirwad Distributors - Raipur,4,99.16666666666667
Ashirwad Distributors - Raipur,5,99.72222222222223
Ashirwad Distributors - Raipur,6,100.0
Ashirwad Distributors - Surat,0,75.15151515151514
Ashirwad Distributors - Surat,1,98.7878787878788
Ashirwad Distributors - Surat,2,99.69696969696969
Ashirwad Distributors - Surat,3,100.0
Balaji Pharmatech - Vizag,0,44.0
Balaji Pharmatech - Vizag,1,91.33333333333333
Balaji Pharmatech - Vizag,2,98.66666666666667
Balaji Pharmatech - Vizag,3,99.66666666666667
Balaji Pharmatech - Vizag,4,100.0
DCA - Indore,0,58.71794871794872
DCA - Indore,1,95.64102564102565
DCA - Indore,2,99.48717948717949
DCA - Indore,3,100.0
DCA - Patna,0,45.476190476190474
DCA - Patna,1,96.19047619047619
DCA - Patna,2,100.0
DRK Enterprises,0,36.41025641025641
DRK Enterprises,1,86.92307692307692
DRK Enterprises,2,98.2051282051282
DRK Enterprises,3,99.74358974358975
DRK Enterprises,4,100.0
Desai,0,37.638888888888886
Desai,1,64.72222222222223
Desai,2,74.16666666666667
Desai,3,83.47222222222223
Desai,4,88.19444444444444
Desai,5,92.63888888888889
Desai,6,97.08333333333333
Desai,7,98.47222222222223
Desai,8,99.16666666666667
Desai,9,99.30555555555556
Desai,11,99.58333333333333
Desai,12,99.86111111111111
Desai,13,100.0
EC Agencies Goa,0,62.05128205128205
EC Agencies Goa,1,97.6923076923077
EC Agencies Goa,2,100.0
Eastern,0,20.694444444444443
Eastern,1,30.555555555555557
Eastern,2,39.58333333333333
