Date,Department,Dist,KPI,MIS Dept,Daily Actual Value,Ideal Avg Salary,Ideal Cost,Ideal Head Count,Ideal KPIS,Monthly Actual Value
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",AK Pharma - Belgaum,Godown to Store Line Items,"Audit & Refilling,Inward",5.923076923,14000.0,829.230766,0.059230769,100.0,154.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Aayush Pharma - Guwahati,Godown to Store Line Items,"Audit & Refilling,Inward",127.423076923,14000.0,17839.230766,1.274230769,100.0,3313.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Aryan Wellness,Godown to Store Line Items,"Audit & Refilling,Inward",1307.0,14000.0,182980.0,13.07,100.0,33982.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Ashirwad Distributors - Ahmedabad,Godown to Store Line Items,"Audit & Refilling,Inward",112.0,14000.0,15680.000000000002,1.12,100.0,2912.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Ashirwad Distributors - Nagpur,Godown to Store Line Items,"Audit & Refilling,Inward",216.038461538,14000.0,30245.384609999997,2.160384615,100.0,5617.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Ashirwad Distributors - Raipur,Godown to Store Line Items,"Audit & Refilling,Inward",315.346153846,14000.0,44148.461532,3.153461538,100.0,8199.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Ashirwad Distributors - Rajkot,Godown to Store Line Items,"Audit & Refilling,Inward",64.730769231,14000.0,9062.307688,0.647307692,100.0,1683.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Ashirwad Distributors - Surat,Godown to Store Line Items,"Audit & Refilling,Inward",175.692307692,14000.0,24596.923078,1.756923077,100.0,4568.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Aspire Pharma - Jammu,Godown to Store Line Items,"Audit & Refilling,Inward",89.961538462,14000.0,12594.61539,0.899615385,100.0,2339.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Balaji Pharmatech - Vijaywada,Godown to Store Line Items,"Audit & Refilling,Inward",84.807692308,14000.0,11873.076922,0.848076923,100.0,2205.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Balaji Pharmatech - Vizag,Godown to Store Line Items,"Audit & Refilling,Inward",177.115384615,14000.0,24796.153844,1.771153846,100.0,4605.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",DCA - Indore,Godown to Store Line Items,"Audit & Refilling,Inward",159.692307692,14000.0,22356.923078,1.596923077,100.0,4152.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",DCA - Patna,Godown to Store Line Items,"Audit & Refilling,Inward",152.115384615,14000.0,21296.153844,1.521153846,100.0,3955.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Desai,Godown to Store Line Items,"Audit & Refilling,Inward",633.153846154,14000.0,88641.538468,6.331538462,100.0,16462.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",EC Agencies Goa,Godown to Store Line Items,"Audit & Refilling,Inward",121.0,14000.0,16940.0,1.21,100.0,3146.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Eastern,Godown to Store Line Items,"Audit & Refilling,Inward",1502.730769231,14000.0,210382.307688,15.027307692,100.0,39071.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Ekdanta Pharmatech - Aurangabad,Godown to Store Line Items,"Audit & Refilling,Inward",122.5,14000.0,17150.0,1.225,100.0,3185.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Ekdanta Pharmatech - Nashik,Godown to Store Line Items,"Audit & Refilling,Inward",131.923076923,14000.0,18469.230766,1.319230769,100.0,3430.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Ekdanta Pharmatech - Sangli,Godown to Store Line Items,"Audit & Refilling,Inward",152.192307692,14000.0,21306.923078,1.521923077,100.0,3957.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Kalinga Pharmatech,Godown to Store Line Items,"Audit & Refilling,Inward",365.423076923,14000.0,51159.230766,3.654230769,100.0,9501.0
2022-11-01,"Audit & Refilling,Inward-Refilling,Godown to Store",Kamal Health Distributors,Godown to Store Line Items,"Audit & Refilling,Inward",70.769230769,14000.0,9907.692312000001,0.707692308,100.0,1840.0
