dist,month,dept,dayname,hourly_manpower,load
AK Pharma - Belgaum,11-2022,Checking,Friday,1.25,5667.875
AK Pharma - Belgaum,11-2022,Checking,Monday,1.25,7382.125
AK Pharma - Belgaum,11-2022,Checking,Saturday,1.25,6332.75
AK Pharma - Belgaum,11-2022,Checking,Sunday,1.25,484.0
AK Pharma - Belgaum,11-2022,Checking,Thursday,1.25,7357.875
AK Pharma - Belgaum,11-2022,Checking,Tuesday,1.25,6775.599999999999
AK Pharma - Belgaum,11-2022,Checking,Wednesday,1.25,7627.4
AK Pharma - Belgaum,11-2022,Dispatch,Friday,1.25,252.0
AK Pharma - Belgaum,11-2022,Dispatch,Monday,1.25,241.875
AK Pharma - Belgaum,11-2022,Dispatch,Saturday,1.25,265.5
AK Pharma - Belgaum,11-2022,Dispatch,Sunday,1.25,51.5
AK Pharma - Belgaum,11-2022,Dispatch,Thursday,1.25,265.625
AK Pharma - Belgaum,11-2022,Dispatch,Tuesday,1.25,248.09999999999997
AK Pharma - Belgaum,11-2022,Dispatch,Wednesday,1.25,265.79999999999995
AK Pharma - Belgaum,11-2022,Picking,Friday,1.25,1549.75
AK Pharma - Belgaum,11-2022,Picking,Monday,2.5,2078.375
AK Pharma - Belgaum,11-2022,Picking,Saturday,2.5,1763.75
AK Pharma - Belgaum,11-2022,Picking,Sunday,1.25,76.0
AK Pharma - Belgaum,11-2022,Picking,Thursday,2.5,1870.75
AK Pharma - Belgaum,11-2022,Picking,Tuesday,1.25,1633.2999999999997
AK Pharma - Belgaum,11-2022,Picking,Wednesday,2.5,1912.6
AK Pharma - Belgaum,12-2022,Checking,Friday,1.25,0.0
AK Pharma - Belgaum,12-2022,Checking,Monday,1.25,0.0
AK Pharma - Belgaum,12-2022,Checking,Saturday,1.25,0.0
AK Pharma - Belgaum,12-2022,Checking,Sunday,1.25,0.0
AK Pharma - Belgaum,12-2022,Checking,Thursday,1.25,0.0
AK Pharma - Belgaum,12-2022,Checking,Tuesday,1.25,0.0
AK Pharma - Belgaum,12-2022,Checking,Wednesday,1.25,0.0
AK Pharma - Belgaum,12-2022,Dispatch,Friday,1.25,0.0
AK Pharma - Belgaum,12-2022,Dispatch,Monday,1.25,0.0
AK Pharma - Belgaum,12-2022,Dispatch,Saturday,1.25,0.0
AK Pharma - Belgaum,12-2022,Dispatch,Sunday,1.25,0.0
AK Pharma - Belgaum,12-2022,Dispatch,Thursday,1.25,0.0
AK Pharma - Belgaum,12-2022,Dispatch,Tuesday,1.25,0.0
AK Pharma - Belgaum,12-2022,Dispatch,Wednesday,1.25,0.0
AK Pharma - Belgaum,12-2022,Picking,Friday,1.25,0.0
AK Pharma - Belgaum,12-2022,Picking,Monday,1.25,0.0
AK Pharma - Belgaum,12-2022,Picking,Saturday,1.25,0.0
AK Pharma - Belgaum,12-2022,Picking,Sunday,1.25,0.0
AK Pharma - Belgaum,12-2022,Picking,Thursday,1.25,0.0
AK Pharma - Belgaum,12-2022,Picking,Tuesday,1.25,0.0
AK Pharma - Belgaum,12-2022,Picking,Wednesday,1.25,0.0
Aayush Pharma - Guwahati,11-2022,Checking,Friday,1.375,2761.75
Aayush Pharma - Guwahati,11-2022,Checking,Monday,1.375,3301.0
Aayush Pharma - Guwahati,11-2022,Checking,Saturday,1.375,2786.625
Aayush Pharma - Guwahati,11-2022,Checking,Sunday,1.375,456.625
Aayush Pharma - Guwahati,11-2022,Checking,Thursday,1.375,2707.0
Aayush Pharma - Guwahati,11-2022,Checking,Tuesday,1.375,2610.8
Aayush Pharma - Guwahati,11-2022,Checking,Wednesday,1.375,2887.5
Aayush Pharma - Guwahati,11-2022,Dispatch,Friday,1.375,215.375
Aayush Pharma - Guwahati,11-2022,Dispatch,Monday,1.375,226.125
Aayush Pharma - Guwahati,11-2022,Dispatch,Saturday,1.375,265.125
