unit_name,month,Supervisor,Biker,Van,1.a.i Payment to Outside Agency (Actual),3rd Supervisor Headcount,3rd Biker Headcount,3rd Van Headcount
Ahmedabad,2022-04-01,7742.0,142903.0,0.0,150645.0,0.96775,6.804904761904762,0.0
Ahmedabad,2022-05-01,7613.0,142537.0,0.0,150150.0,0.951625,6.78747619047619,0.0
Ahmedabad,2022-06-01,7613.0,153639.59999999998,0.0,161252.59999999998,0.951625,7.316171428571428,0.0
Ahmedabad,2022-07-01,8000.0,154700.0,0.0,162700.0,1.0,7.366666666666666,0.0
Ahmedabad,2022-08-01,8258.0,143258.0,0.0,151516.0,1.03225,6.821809523809524,0.0
Ahmedabad,2022-09-01,8000.0,171903.0,0.0,179903.0,1.0,8.185857142857143,0.0
Ahmedabad,2022-10-01,8000.0,181167.0,0.0,189167.0,1.0,8.627,0.0
Ahmedabad,2022-11-01,9290.4,176709.59999999998,0.0,185999.99999999997,1.1613,8.414742857142857,0.0
Aurangabad,2022-05-01,7742.0,89396.0,0.0,97138.0,1.0,4.966444444444445,0.0
Aurangabad,2022-06-01,7742.0,101600.0,0.0,109342.0,1.0,5.644444444444445,0.0
Aurangabad,2022-07-01,8000.0,115200.0,0.0,123200.0,1.033324722293981,6.4,0.0
Aurangabad,2022-08-01,8000.0,134709.0,0.0,142709.0,1.033324722293981,7.483833333333333,0.0
Aurangabad,2022-09-01,8000.0,144000.0,0.0,152000.0,1.033324722293981,8.0,0.0
Aurangabad,2022-10-01,8267.0,155200.0,0.0,163467.0,1.0678119349005426,8.622222222222222,0.0
Aurangabad,2022-11-01,8051.999999999999,160722.0,0.0,168774.0,1.0400413329888916,8.929,0.0
Aushad,2022-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aushad,2022-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aushad,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aushad,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aushad,2022-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aushad,2022-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aushad,2022-10-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aushad,2022-11-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Balasore,2022-07-01,9196.0,132500.0,0.0,141696.0,1.0217777777777777,9.013605442176871,0.0
Balasore,2022-08-01,8960.0,139354.0,0.0,148314.0,0.9955555555555555,9.290266666666666,0.0
Balasore,2022-09-01,8959.0,139355.0,0.0,148314.0,0.9954444444444445,9.290333333333333,0.0
