unit_name,month,Intercity cost (Actual),Mid mile (Actual)
Ahmedabad,2022-03-01,0,0.0
Ahmedabad,2022-04-01,0,0.0
Ahmedabad,2022-05-01,0,0.0
Ahmedabad,2022-06-01,0,0.0
Ahmedabad,2022-07-01,0,0.0
Ahmedabad,2022-08-01,0,0.0
Ahmedabad,2022-09-01,0,0.0
Ahmedabad,2022-10-01,0,0.0
Ahmedabad,2022-11-01,0,0.0
Aurangabad,2022-03-01,0,0.0
Aurangabad,2022-04-01,0,0.0
Aurangabad,2022-05-01,0,0.0
Aurangabad,2022-06-01,0,0.0
Aurangabad,2022-07-01,0,0.0
Aurangabad,2022-08-01,0,0.0
Aurangabad,2022-09-01,0,0.0
Aurangabad,2022-10-01,0,0.0
Aurangabad,2022-11-01,0,0.0
Aushad,2022-03-01,0,0.0
Aushad,2022-04-01,0,0.0
Aushad,2022-05-01,0,0.0
Aushad,2022-06-01,0,0.0
Aushad,2022-07-01,0,0.0
Aushad,2022-08-01,0,0.0
Aushad,2022-09-01,0,0.0
Aushad,2022-10-01,0,0.0
Aushad,2022-11-01,0,0.0
Balasore,2022-03-01,0,0.0
Balasore,2022-04-01,0,0.0
Balasore,2022-05-01,0,0.0
Balasore,2022-06-01,0,0.0
Balasore,2022-07-01,0,74578.0
Balasore,2022-08-01,0,111728.0
Balasore,2022-09-01,0,98851.0
Balasore,2022-10-01,0,0.0
Balasore,2022-11-01,0,0.0
Belgam,2022-03-01,0,0.0
Belgam,2022-04-01,0,0.0
Belgam,2022-05-01,0,0.0
Belgam,2022-06-01,0,0.0
Belgam,2022-07-01,0,0.0
Belgam,2022-08-01,0,0.0
Belgam,2022-09-01,0,0.0
Belgam,2022-10-01,0,0.0
Belgam,2022-11-01,0,0.0
Bhopal,2022-03-01,0,0.0
Bhopal,2022-04-01,0,23495.0
Bhopal,2022-05-01,0,34448.0
Bhopal,2022-06-01,0,26780.0
Bhopal,2022-07-01,0,6990.0
Bhopal,2022-08-01,0,11370.0
Bhopal,2022-09-01,0,9950.0
Bhopal,2022-10-01,0,39658.0
Bhopal,2022-11-01,0,81170.0
Bhubaneswar,2022-03-01,0,0.0
Bhubaneswar,2022-04-01,0,0.0
Bhubaneswar,2022-05-01,0,0.0
Bhubaneswar,2022-06-01,0,107111.0
Bhubaneswar,2022-07-01,0,0.0
Bhubaneswar,2022-08-01,0,0.0
Bhubaneswar,2022-09-01,0,0.0
Bhubaneswar,2022-10-01,0,0.0
Bhubaneswar,2022-11-01,0,0.0
Bilaspur,2022-03-01,0,0.0
Bilaspur,2022-04-01,0,23700.0
Bilaspur,2022-05-01,0,27000.0
Bilaspur,2022-06-01,0,30700.0
Bilaspur,2022-07-01,0,30120.0
Bilaspur,2022-08-01,0,36410.0
Bilaspur,2022-09-01,0,37560.0
Bilaspur,2022-10-01,0,33137.0
Bilaspur,2022-11-01,0,39900.0
Bokaro,2022-03-01,0,0.0
Bokaro,2022-04-01,0,0.0
Bokaro,2022-05-01,0,0.0
Bokaro,2022-06-01,0,30675.0
Bokaro,2022-07-01,0,45504.0
Bokaro,2022-08-01,0,35000.0
Bokaro,2022-09-01,0,31400.0
Bokaro,2022-10-01,0,28200.0
Bokaro,2022-11-01,0,0.0
Chandigarh,2022-03-01,0,0.0
Chandigarh,2022-04-01,0,19930.0
Chandigarh,2022-05-01,0,42000.0
Chandigarh,2022-06-01,0,8285.0
Chandigarh,2022-07-01,0,18378.0
Chandigarh,2022-08-01,0,180.0
Chandigarh,2022-09-01,0,1366.0
Chandigarh,2022-10-01,0,10800.0
Chandigarh,2022-11-01,0,17550.0
Chennai,2022-03-01,0,0.0
Chennai,2022-04-01,0,0.0
Chennai,2022-05-01,0,0.0
Chennai,2022-06-01,0,0.0
Chennai,2022-07-01,0,0.0
Chennai,2022-08-01,0,0.0
Chennai,2022-09-01,0,0.0
Chennai,2022-10-01,0,0.0
Chennai,2022-11-01,0,0.0
DC,2022-03-01,0,0.0
DC,2022-04-01,0,0.0
DC,2022-05-01,0,0.0
DC,2022-06-01,0,0.0
DC,2022-07-01,0,0.0
DC,2022-08-01,0,0.0
DC,2022-09-01,0,0.0
DC,2022-10-01,0,0.0
DC,2022-11-01,0,0.0
DRK,2022-03-01,0,0.0
DRK,2022-04-01,0,0.0
DRK,2022-05-01,0,0.0
DRK,2022-06-01,0,0.0
DRK,2022-07-01,0,0.0
DRK,2022-08-01,0,0.0
DRK,2022-09-01,0,0.0
DRK,2022-10-01,0,0.0
DRK,2022-11-01,0,0.0
Davangere,2022-03-01,0,0.0
Davangere,2022-04-01,0,0.0
Davangere,2022-05-01,0,0.0
Davangere,2022-06-01,0,0.0
Davangere,2022-07-01,0,0.0
Davangere,2022-08-01,0,0.0
Davangere,2022-09-01,0,0.0
Davangere,2022-10-01,0,0.0
Davangere,2022-11-01,0,0.0
Desai,2022-03-01,0,0.0
Desai,2022-04-01,0,0.0
Desai,2022-05-01,0,0.0
Desai,2022-06-01,0,0.0
Desai,2022-07-01,0,0.0
Desai,2022-08-01,0,0.0
Desai,2022-09-01,0,0.0
Desai,2022-10-01,0,0.0
Desai,2022-11-01,0,0.0
Dhanbad,2022-03-01,0,0.0
Dhanbad,2022-04-01,0,0.0
Dhanbad,2022-05-01,0,0.0
Dhanbad,2022-06-01,0,67665.0
Dhanbad,2022-07-01,0,42460.0
Dhanbad,2022-08-01,0,33900.0
Dhanbad,2022-09-01,0,31900.0
Dhanbad,2022-10-01,0,28600.0
Dhanbad,2022-11-01,0,0.0
Eastern,2022-03-01,0,0.0
Eastern,2022-04-01,0,0.0
Eastern,2022-05-01,0,0.0
Eastern,2022-06-01,0,0.0
Eastern,2022-07-01,0,0.0
Eastern,2022-08-01,0,0.0
Eastern,2022-09-01,0,0.0
Eastern,2022-10-01,0,0.0
Eastern,2022-11-01,0,0.0
Gaya,2022-03-01,0,0.0
Gaya,2022-04-01,0,0.0
Gaya,2022-05-01,0,0.0
Gaya,2022-06-01,0,7426.0
Gaya,2022-07-01,0,8160.0
