unit_name,month,Present Head Count--Admin,Present Head Count--Audit & Refilling,Present Head Count--CHECKING,Present Head Count--Checking,Present Head Count--Data Analyst,Present Head Count--Data analyst,Present Head Count--Delivery,Present Head Count--Dispatch,Present Head Count--Expiry,Present Head Count--Finance & Accounts,Present Head Count--HR,Present Head Count--IT,Present Head Count--IT ,Present Head Count--Inward,Present Head Count--Overall Non - Ops,Present Head Count--Overall Operation,Present Head Count--PURCHASE,Present Head Count--Purchase,Present Head Count--SALES,Present Head Count--Sales,Present Head Count--Sales Return,Present Head Count--Store,Present Head Count--store
Ahmedabad,2022-04-01,,1.0,,3.95,,,,0.8,,0.9666666666666667,,,,2.666666666666667,,,,,,11.116666666666665,0.9666666666666667,2.416666666666667,
Ahmedabad,2022-05-01,,0.7903225806451613,,3.145161290322581,,,,0.9516129032258065,,1.0,,,,1.8387096774193548,,,,,,14.14516129032258,0.9032258064516129,1.806451612903226,
Ahmedabad,2022-06-01,,0.3333333333333333,,4.0,,,,1.0,,1.0,,,,2.783333333333333,,,,,,14.95,1.0666666666666667,3.3,
Ahmedabad,2022-07-01,,,,4.048387096774194,,,,0.9354838709677419,,1.0,,,,2.370967741935484,,,,,,15.290322580645162,0.967741935483871,4.080645161290323,
Ahmedabad,2022-08-01,,,,1.935483870967742,,,,1.0,,1.467741935483871,,,,3.0161290322580645,,,,,,15.29032258064516,1.0,4.629032258064516,
Ahmedabad,2022-09-01,,,,1.9833333333333334,,,,0.9666666666666667,,1.0,,,,2.166666666666667,,,,,,14.433333333333334,0.9666666666666667,5.0,
Ahmedabad,2022-10-01,,0.8709677419354838,,2.1451612903225805,,,,0.6774193548387096,,1.0,,,,2.9193548387096775,,,,,,14.61290322580645,,5.903225806451613,
Ahmedabad,2022-11-01,,0.4,,0.8833333333333333,,,,1.0,,1.0,,,,2.8666666666666667,,,,,,14.7,,9.600000000000001,
Aurangabad,2022-04-01,1.0333333333333334,,,2.033333333333333,,,,1.0333333333333334,,,,,,2.9,,1.0,,0.9666666666666667,,10.033333333333333,1.0333333333333334,2.966666666666667,
Aurangabad,2022-05-01,1.0,,,2.0,,,,1.0,,,,,,2.7903225806451615,,0.0,,0.5483870967741935,,10.5,1.0,3.0,
Aurangabad,2022-06-01,1.0,,,2.0,,,,1.0,,,,,,2.6166666666666667,,,,1.0,,12.816666666666666,1.0,3.566666666666667,
Aurangabad,2022-07-01,1.0,,,2.0,,,,0.7096774193548387,,,,,,2.967741935483871,,,,1.0,,14.612903225806452,1.0,3.903225806451613,
