unit_name,month,Expiry Return Amt,Expiry Return Strips,Expiry Return Value from customer,Expiry from godown,Expiry return strip to supplier,Expiry to supplier,Godown to store Strips,Gowdown breakage,Intransit breakage (Retail),Inventory value - PTS/EPR (15th of the month),Inward Strips,Inward value ( PTS/EPR),Billed orders ( Retail ),Billed line items (Retail),Billed Strips (Retail),Sale Return Amt,Sales Return Strips,Sales Return ( At PTR after discount),Sale Return Value from customer,Billed orders (Inter company ),Billed line items (Inter company),Billed Strips (Inter company),Billed orders (Total),Billed line items (Total),Billed Strips (Total),Value of Non-moving item
Ahmedabad,2022-01-01,0.0,0.0,0.0,88135.22,0.0,0.0,0.0,16803.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148432.89,0.0,0.0,0.0,0.0,0.0,0.0,6978621.95798332
Ahmedabad,2022-02-01,0.0,0.0,0.0,43632.04,0.0,0.0,0.0,8325.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123257.87,0.0,0.0,0.0,0.0,0.0,0.0,6879122.35448688
Ahmedabad,2022-03-01,0.0,0.0,0.0,688018.24,6534.0,815410.56,0.0,1578.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200042.87,0.0,0.0,0.0,0.0,0.0,0.0,7042918.49173088
Ahmedabad,2022-04-01,0.0,0.0,0.0,2123.4,1.0,353.9,0.0,3005.88,0.0,23144071.5712434,93952.0,4707875.23,4786.0,19243.0,61616.0,204709.26,3444.0,204709.26,204709.26,36.0,184.0,8459.0,4822.0,19427.0,70075.0,6386754.39222194
Ahmedabad,2022-05-01,0.0,0.0,0.0,390930.14,2565.0,395322.49,0.0,3367.36,0.0,22569851.4313982,76831.0,4174727.76,5239.0,19394.0,63448.0,219336.22,3381.0,219336.22,219336.22,62.0,385.0,20932.0,5301.0,19779.0,84380.0,5959680.72999973
Ahmedabad,2022-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1829.74,0.0,21522653.9699107,88510.0,4677713.21,6984.0,26345.0,81002.0,267555.69,5061.0,267555.69,267555.69,139.0,2854.0,30904.0,7123.0,29199.0,111906.0,5610684.00553852
Ahmedabad,2022-07-01,0.0,0.0,0.0,0.0,0.0,0.0,132793.0,790.94,0.0,18951894.6110486,123964.0,6057999.34,8041.0,28930.0,93571.0,315862.52,5589.0,315862.52,315862.52,78.0,895.0,42035.0,8119.0,29825.0,135606.0,4808668.87539087
Ahmedabad,2022-08-01,0.0,0.0,0.0,0.0,3.0,1920.96,133038.0,5243.25,0.0,18117369.384869,151838.0,7086397.42,6466.0,24085.0,82573.0,374742.6,6909.0,374742.6,374742.6,74.0,954.0,66606.0,6540.0,25039.0,149179.0,4468266.58640341
Ahmedabad,2022-09-01,0.0,0.0,0.0,6538.08,0.0,0.0,166708.0,1304.31,0.0,17706213.255886,181298.0,9254518.1,6279.0,23550.0,74793.0,525990.37,8902.0,525990.37,525990.37,99.0,1027.0,69301.0,6378.0,24577.0,144094.0,4049632.35788786
Ahmedabad,2022-10-01,0.0,0.0,0.0,91.7,0.0,0.0,161526.0,2943.79,0.0,19299684.7041289,117447.0,5949909.94,6208.0,25916.0,85367.0,109757.26,2330.0,109757.26,109757.26,112.0,1007.0,48778.0,6320.0,26923.0,134145.0,4221405.4338883
