unit_name,month,Total Salary--Admin--ADMIN,Total Salary--Admin--Admin,Total Salary--Admin--Driver,Total Salary--Admin--HOUSEKEEPING,Total Salary--Admin--Housekeeping,Total Salary--Admin--Maintenance,Total Salary--Admin--Security,Total Salary--Admin--Support,Total Salary--Audit & Refilling--Audit,Total Salary--Audit & Refilling--Audit & Refilling,Total Salary--Audit & Refilling--Lead,Total Salary--Audit & Refilling--Refilling,Total Salary--CHECKING--Support,Total Salary--Checking--Checking & Packing,Total Salary--Checking--Checking & packing,Total Salary--Checking--Lead,Total Salary--Checking--Modification,Total Salary--Checking--Support,Total Salary--Data Analyst--Data Analyst,Total Salary--Data Analyst--Data analyst,Total Salary--Data analyst--Data Analyst,Total Salary--Data analyst--Data analyst,Total Salary--Delivery--Delivery,Total Salary--Delivery--Delivery Boy,Total Salary--Delivery--Delivery Supervisor,Total Salary--Delivery--Delivery boy,Total Salary--Dispatch--Lead,Total Salary--Dispatch--Sorting,Total Salary--Dispatch--Support,Total Salary--Dispatch--System Operator,Total Salary--Dispatch--System operator,Total Salary--Dispatch--lead,Total Salary--Expiry--Expiry,Total Salary--Expiry--Lead,Total Salary--Expiry--lead,Total Salary--Finance & Accounts--Finance & Accounts,Total Salary--Finance & Accounts--Lead,Total Salary--Finance & Accounts--Payeables,Total Salary--Finance & Accounts--RECEIVABLES,Total Salary--Finance & Accounts--Receivable,Total Salary--Finance & Accounts--Receivables,Total Salary--Finance & Accounts--Support,Total Salary--Finance & Accounts--receivables,Total Salary--HR--HR,Total Salary--IT --IT ,Total Salary--IT--IT,Total Salary--Inward--Gatepass Entry,Total Salary--Inward--Godown To Store,Total Salary--Inward--Godown to Store,Total Salary--Inward--Godown to store,Total Salary--Inward--Inward Checking,Total Salary--Inward--Inward checking,Total Salary--Inward--Lead,Total Salary--Inward--Loader,Total Salary--Inward--Overall,Total Salary--Inward--PURCHASE ENTRY,Total Salary--Inward--Purchase Entry,Total Salary--Inward--Purchase entry,Total Salary--Inward--System Operater,Total Salary--Inward--gatepass entry,Total Salary--Inward--lead,Total Salary--Inward--purchase entry,Total Salary--Overall Non - Ops--Lead,Total Salary--Overall Operation--Lead,Total Salary--Overall Operation--MIS,Total Salary--Overall Operation--Support,Total Salary--Overall Operation--lead,Total Salary--Overall Operation--support,Total Salary--PURCHASE--Lead,Total Salary--Purchase--Lead,Total Salary--Purchase--Purchase Entry,Total Salary--Purchase--Support,Total Salary--Purchase--lead,Total Salary--Purchase--support,Total Salary--SALES--Sales Executive,Total Salary--Sales Return--Sale return,Total Salary--Sales Return--Sales Return,Total Salary--Sales--BD,Total Salary--Sales--BD Special,Total Salary--Sales--BD Vaccines,Total Salary--Sales--COLLECTION,Total Salary--Sales--Call Center,Total Salary--Sales--Call Center ,Total Salary--Sales--Call Centre,Total Salary--Sales--Call centre,Total Salary--Sales--City Head,Total Salary--Sales--Collection,Total Salary--Sales--Collection ,Total Salary--Sales--Lead,Total Salary--Sales--Sales Executive,Total Salary--Sales--Sales executive,Total Salary--Sales--executive,Total Salary--Sales--lead,Total Salary--Sales--sales executive,Total Salary--Store--CHALLAN PRINTING,Total Salary--Store--Challan Printing,Total Salary--Store--Lead,Total Salary--Store--Modification,Total Salary--Store--PICKING,Total Salary--Store--Picking,Total Salary--Store--Support,Total Salary--Store--lead,Total Salary--Store--picking,Total Salary--store--Modification,Total Salary--store--Support
Ahmedabad,2022-04-01,,,,,,,,,11370.0,,,,,33124.0,,,16156.0,,,,,,,,,,9096.0,,,,,,,,,,,,,,16974.0,,,,,,,,,,,,,,22281.733333333334,,10495.0,,,,,,,,,,,,,,,,,,,,10992.0,,,,,,,12391.0,,,,,,204603.0,,,,,,10574.0,,,,16867.0,,,,,
Ahmedabad,2022-05-01,,,,,,,,,8986.0,,,,,26959.0,,,12146.0,,,,,,,,,,10820.0,,,,,,,,,,,,,,17560.0,,,,,,,,,,,,,,20174.0,,972.0,,,,,,,,,,,,,,,,,,,,10270.0,,,,,,,17275.0,,,,,,255439.0,,,,,,9536.0,,,,11004.0,,,,,
Ahmedabad,2022-06-01,,,,,,,,,3803.0,,,,,32890.2,,,17103.1,,,,,,,,,,11382.0,,,,,,,,,,,,,,17572.0,,,,,,,,,,8350.0,,,,23131.666666666668,,,,,,,,,,,,,,,,,,,,,,12059.466666666667,,,,,,,24175.0,,,,,,264573.6666666667,,,,,,10624.0,,,,26661.133333333335,,,,,
Ahmedabad,2022-07-01,,,,,,,,,,,,,,34013.51612903226,,,16312.725806451614,,,,,,,,,,10597.806451612903,,,,,,,,,,,,,,17560.0,,,,,,,,,,5867.0,,,,20953.32258064516,,,,,,,,,,,,,,,,,,,,,,11004.0,,,,,,,24184.0,,,,,,273000.0,,,,,,12989.935483870968,,,,32902.54838709677,,,,,
Ahmedabad,2022-08-01,,,,,,,,,,,,,,21968.8064516129,,,0.0,,,,,,,,,,11253.41935483871,,,,,,,,,,,,,,26347.935483870966,,,,,,,,,,11331.806451612903,,,,22632.548387096773,,,,,,,,,,,,,,,,,,,,,,11331.806451612903,,,,,,,25114.516129032258,,,,,,,269653.3870967742,,,,,13172.935483870968,9950.258064516129,,,31136.967741935485,,,,,
Ahmedabad,2022-09-01,,,,,,,,,,,,,,22554.0,,,,,,,,,,,,,10992.0,,,,,,,,,,,,,,18964.0,,,,,,,,,13024.4,11370.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,10992.0,,,,,,,13021.0,,,,,,,273832.7,,,,,12834.4,17485.066666666666,,,29881.066666666666,,,,,
Ahmedabad,2022-10-01,,,,,,,,,,,,9825.612903225807,,24314.612903225807,,,,,,,,,,,,,,,,,7663.806451612903,,,,,,,,,,18897.225806451614,,,,,,,,11987.41935483871,,9680.806451612903,,,,,,11331.806451612903,,,,,,,,,,,,,,,,,,,,,,,,,,,11338.258064516129,,,,,,278203.4193548387,,,,,,12277.032258064515,11078.90322580645,,,45788.87096774194,,,,,
Ahmedabad,2022-11-01,,,,,,,,,,,,4548.0,,10046.0,,,,,,,,,,,,,,,,,13229.0,,,,,,,,,,18964.0,,,,,,,,,13229.0,9854.0,,,,,,13229.0,,,,,,,,,,,,,,,,,,,,,,,,,,,12886.1,,,,,,,281654.9666666667,,,,,16774.1,19179.766666666666,,,79036.8,,,,,
Aurangabad,2022-04-01,,,,,9300.0,,,,,,,,,29036.0,,,,,,,,,,,,,,15567.0,,,,,,,,,,,,,,,,,,,,,47149.0,,,,,,,,,,,,,,,25000.0,,,,,,,,,,14618.0,,,15567.0,107944.0,,,,,,54040.0,,,,,,,,,,,,15121.0,,,,26591.0,,,,,
Aurangabad,2022-05-01,,,,,9000.0,,,,,,,,,28642.0,,,,,,,,,,,,,,15121.0,,,,,,,,,,,,,,,,,,,,,42074.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,8294.0,,,15121.0,119422.0,,,,,,49502.0,,,,,,,,,,,,15121.0,,,,27042.0,,,,,
Aurangabad,2022-06-01,,,,,9000.0,,,,,,,,,28714.0,,,,,,,,,,,,,,15157.0,,,,,,,,,,,,,,,,,,,,,39567.0,,,,,,,,,,,,,,,,,,,,,,,15157.0,,,,,15157.0,140770.0,,,,,,64058.0,,,,,,,,,,,,15157.0,,,,36359.0,,,,,
