unit_name,Warehouse area
VPIM,19278
Chennai,38173
DC,34000
Gurgaon,51200
Simba,26200
Eastern,19000
Mahaveer,4923
Davangere,16155
Aushad,7800
Kolkata,1985
Lucknow,16000
Coimbatore,6000
Desai,7500
Pondy,6000
Venk,5000
DRK,6000
Hyd Arush,300
Chandigarh,9000
Jaipur,4200
Bhubaneswar,6226
Goa,2325
Indore,7900
Raipur,4860
Patna,12000
Jamshedpur,4500
Ahmedabad,7000
Surat,7000
Muzaffarpur,0
Guwahati,5295
Nagpur,7000
Sangli,0
Varanasi,7000
Prayagraj,5000
Jalandhar,0
Ludhiana,288
Kanpur,120
Jodhpur,577
Kota,500
Gwalior,1000
Belgam,8000
Bilaspur,1250
Bhopal,1800
Pune,1000
Vijaywada,0
JP,0
Puri,0
Balasore,0
Dhanbad,0
Aurangabad,0
Bokaro,0
Jhansi,0
Nashik,0
Kharagpur,0
Patiala,0
Gaya,0
Rajkot,0
Vizag,0
Ranchi,0
Jammu,0
