unit_name,month,Worked Mandays--Present Head Count--Admin,Worked Mandays--Present Head Count--Audit & Refilling,Worked Mandays--Present Head Count--CHECKING,Worked Mandays--Present Head Count--Checking,Worked Mandays--Present Head Count--Data Analyst,Worked Mandays--Present Head Count--Data analyst,Worked Mandays--Present Head Count--Delivery,Worked Mandays--Present Head Count--Dispatch,Worked Mandays--Present Head Count--Expiry,Worked Mandays--Present Head Count--Finance & Accounts,Worked Mandays--Present Head Count--HR,Worked Mandays--Present Head Count--IT,Worked Mandays--Present Head Count--IT ,Worked Mandays--Present Head Count--Inward,Worked Mandays--Present Head Count--Overall Non - Ops,Worked Mandays--Present Head Count--Overall Operation,Worked Mandays--Present Head Count--PURCHASE,Worked Mandays--Present Head Count--Purchase,Worked Mandays--Present Head Count--SALES,Worked Mandays--Present Head Count--Sales,Worked Mandays--Present Head Count--Sales Return,Worked Mandays--Present Head Count--Store,Worked Mandays--Present Head Count--store
Ahmedabad,2022-04-01,,26.0,,102.7,,,,20.8,,25.133333333333333,,,,69.33333333333334,,,,,,289.0333333333333,25.133333333333333,62.83333333333334,
Ahmedabad,2022-05-01,,20.548387096774192,,81.7741935483871,,,,24.741935483870968,,26.0,,,,47.806451612903224,,,,,,367.7741935483871,23.483870967741936,46.96774193548387,
Ahmedabad,2022-06-01,,8.666666666666666,,104.0,,,,26.0,,26.0,,,,72.36666666666666,,,,,,388.7,27.733333333333334,85.8,
Ahmedabad,2022-07-01,,,,105.25806451612904,,,,24.32258064516129,,26.0,,,,61.645161290322584,,,,,,397.5483870967742,25.161290322580648,106.0967741935484,
Ahmedabad,2022-08-01,,,,52.25806451612903,,,,27.0,,39.62903225806452,,,,81.43548387096774,,,,,,412.83870967741933,27.0,124.98387096774194,
Ahmedabad,2022-09-01,,,,51.56666666666667,,,,25.133333333333333,,26.0,,,,56.33333333333334,,,,,,375.26666666666665,25.133333333333333,130.0,
Ahmedabad,2022-10-01,,22.645161290322577,,55.774193548387096,,,,17.612903225806452,,26.0,,,,75.90322580645162,,,,,,379.9354838709677,,153.48387096774195,
Ahmedabad,2022-11-01,,10.4,,22.966666666666665,,,,26.0,,26.0,,,,74.53333333333333,,,,,,382.2,,249.60000000000002,
Aurangabad,2022-04-01,26.86666666666667,,,52.86666666666666,,,,26.86666666666667,,,,,,75.39999999999999,,26.0,,25.133333333333333,,260.8666666666667,26.86666666666667,77.13333333333334,
Aurangabad,2022-05-01,26.0,,,52.0,,,,26.0,,,,,,72.54838709677419,,0.0,,14.258064516129032,,273.0,26.0,78.0,
Aurangabad,2022-06-01,26.0,,,52.0,,,,26.0,,,,,,68.03333333333333,,,,26.0,,333.23333333333335,26.0,92.73333333333333,
Aurangabad,2022-07-01,26.0,,,52.0,,,,18.451612903225808,,,,,,77.16129032258064,,,,26.0,,379.93548387096774,26.0,101.48387096774194,
Aurangabad,2022-08-01,27.0,,,54.0,,,,27.0,,,,,,72.29032258064515,,,,27.0,,401.9516129032258,27.0,108.0,
Aurangabad,2022-09-01,26.0,34.666666666666664,,45.5,,,,26.0,,,,,,99.23333333333332,,,,,,316.3333333333333,26.0,103.13333333333334,
Aurangabad,2022-10-01,26.0,26.0,,105.6774193548387,,,,26.838709677419352,,,,,,65.41935483870968,,,,,,317.87096774193543,26.0,122.4516129032258,
Aurangabad,2022-11-01,21.666666666666668,25.133333333333333,,99.66666666666666,,,,26.0,,,,,,68.46666666666667,,,,,,280.8,25.133333333333333,123.5,
Aushad,2022-04-01,26.0,,,182.0,,,130.0,130.0,,208.0,,,,78.0,,26.0,,,,676.0,,624.0,
Aushad,2022-05-01,26.0,,,156.0,,,104.0,130.0,,182.0,,,,78.0,,26.0,,,,676.0,,650.0,
